time,X_value,Y_value,Z_value
37.290,-7.56826,5.19349,-1.80634
37.409,-7.79093,5.42682,-1.87790
37.501,-7.81040,5.44297,-1.88422
37.591,-7.83009,5.59498,-1.89233
37.714,-7.76514,5.74644,-1.87033
37.774,-7.77094,5.71965,-1.86547
37.893,-7.63724,5.71565,-1.76286
38.019,-7.58561,5.70226,-2.02892
38.070,-7.58850,5.74302,-2.04540
38.190,-7.62716,5.77722,-2.33073
38.310,-7.56146,5.74669,-2.76138
38.372,-7.43697,5.67692,-3.20772
38.497,-7.37647,5.71825,-4.45703
38.612,-7.20144,6.02539,-5.30823
38.698,-7.15193,6.15512,-5.41698
38.814,-7.10592,6.44022,-5.52033
38.951,-7.16009,6.56991,-5.05672
38.974,-7.24921,6.50781,-4.56411
39.092,-7.22918,6.41135,-3.58474
39.213,-6.98404,5.99462,-2.95736
39.271,-6.83023,5.73991,-2.61412
39.392,-6.71145,5.17733,-2.43693
39.512,-6.35841,4.64469,-2.34004
39.595,-6.32320,4.39238,-2.33816
39.740,-6.35826,4.47494,-2.38011
39.812,-6.47075,4.61258,-2.41354
39.872,-6.33978,4.62157,-2.37734
39.992,-6.18301,4.48826,-2.34417
40.115,-5.92566,4.42168,-2.29568
40.172,-5.84607,4.38640,-2.30045
40.293,-5.88580,4.31606,-2.33798
40.412,-6.03013,4.39248,-2.72138
40.513,-6.10357,4.49010,-2.99158
40.625,-6.30910,4.62512,-3.14599
40.721,-6.43673,4.62022,-3.15585
40.782,-6.51767,4.53439,-3.17422
40.907,-6.71729,4.45066,-3.20812
41.013,-6.66297,4.31142,-3.18840
41.073,-6.55675,4.26231,-3.15813
41.193,-6.48510,3.99236,-3.13339
41.313,-6.23488,3.94863,-3.06430
41.405,-6.18725,3.94575,-3.05121
41.500,-6.08559,3.98303,-3.02426
41.614,-6.21919,3.94844,-3.06006
41.674,-6.28967,3.90080,-2.90151
41.815,-6.36350,3.86014,-2.77103
41.939,-6.53655,3.75314,-2.76562
41.973,-6.47107,3.74069,-2.50412
42.095,-6.59092,3.09570,-2.41502
42.154,-6.50380,2.98333,-2.38041
42.282,-6.74175,2.99553,-2.43961
42.396,-6.71801,2.71590,-2.46340
42.455,-6.56839,2.93291,-2.43940
42.589,-6.41492,3.33953,-2.40930
42.720,-6.29955,3.19467,-2.37626
42.754,-6.26765,3.15071,-2.36695
42.875,-6.17722,2.88935,-2.33448
42.995,-6.17003,2.55548,-2.31934
43.059,-6.07145,2.48508,-2.29092
43.176,-6.09502,2.48004,-2.29682
43.296,-5.99919,2.51042,-2.27112
43.372,-5.93297,2.48787,-2.25265
43.506,-5.96395,2.34274,-2.25934
43.636,-5.98335,2.21851,-2.26306
43.655,-5.97702,2.18416,-2.43133
43.776,-6.04900,2.16831,-2.59509
43.896,-5.87866,2.18006,-2.56606
43.956,-5.86120,2.20824,-2.56318
44.103,-5.87591,2.17882,-2.56749
44.196,-5.86457,2.09658,-2.56333
44.256,-5.92983,2.10659,-2.46180
44.383,-6.06027,2.06045,-2.25077
44.497,-6.04841,2.10385,-1.89874
44.556,-6.12277,2.13460,-1.68150
44.676,-6.13858,2.24262,-1.50253
44.797,-6.02590,2.33104,-1.47797
44.856,-6.04402,2.13137,-1.59596
44.977,-6.15424,2.04178,-1.84906
45.097,-6.13207,1.96106,-1.89514
45.181,-6.10078,1.96812,-1.99078
45.281,-5.83836,2.27680,-2.28842
45.397,-5.62426,2.47860,-2.79962
45.457,-5.58828,2.51634,-3.12543
45.580,-5.62398,2.54861,-3.29112
45.726,-5.79081,2.50727,-3.36403
45.757,-5.80140,2.52355,-3.37874
45.878,-6.08488,2.50388,-3.45638
45.998,-6.16617,2.69958,-3.44060
46.061,-5.97288,2.86441,-3.12337
46.211,-5.98264,3.16108,-2.84307
46.298,-5.91775,3.15170,-2.57253
46.379,-5.82592,2.76852,-2.50767
46.512,-6.00627,2.02208,-2.54396
46.599,-6.39934,2.89312,-2.70422
46.658,-6.19876,2.69977,-2.66345
46.780,-6.21732,2.03927,-2.31661
46.901,-6.23838,1.98313,-2.05770
46.960,-6.28224,1.97170,-1.94110
47.078,-6.28919,1.97324,-1.84977
47.199,-6.25088,2.14409,-1.82298
47.298,-6.14929,2.00886,-1.79074
47.379,-5.93797,2.02436,-1.73156
47.506,-5.85752,2.12645,-1.71033
47.559,-5.82146,2.13188,-1.70069
47.684,-5.71528,2.24070,-1.95109
47.862,-5.68766,2.28983,-1.99356
47.863,-5.64754,2.26446,-2.22047
47.979,-5.68366,2.13276,-2.33826
48.099,-5.90486,2.09302,-2.41062
48.160,-5.91367,2.05496,-2.41367
