time,X_value,Y_value,Z_value
4.778,-1.90176,0.39775,-0.42593
4.785,-0.86021,-0.13097,-2.17058
4.800,1.10020,-0.26883,0.61187
4.806,0.02121,-0.16590,1.05676
4.825,0.15958,0.55410,0.89323
4.831,0.09091,0.04033,-1.31436
4.849,0.97361,0.84231,2.35389
4.853,1.19325,-0.76191,-1.14094
4.876,0.96283,0.33731,1.18876
4.876,0.96283,0.33731,1.18876
4.879,0.05292,-0.77856,-0.23737
4.900,-0.17558,-0.53677,-2.69809
4.900,-0.17558,-0.53677,-2.69809
4.906,0.17031,1.44430,1.20364
4.922,0.08463,0.11229,-1.21961
4.926,-0.05851,-0.32898,-0.30976
4.944,0.80366,0.24285,0.97864
4.960,-0.87537,-0.12404,-0.31496
4.970,-0.88028,0.09670,0.31540
4.996,-0.16788,0.12265,0.57377
4.996,0.96850,-1.27422,0.61420
5.001,1.41573,-0.29690,-1.20391
5.019,-0.02283,-0.39671,-2.24652
5.025,-1.90618,1.41412,-0.92787
5.041,-0.95717,2.56743,1.49289
5.046,0.78401,0.66127,0.67920
5.063,2.33696,-0.37144,-2.74802
5.073,1.32030,0.25690,1.38203
5.091,0.64584,-0.57769,1.67123
5.094,0.36563,0.03398,2.79183
5.114,0.51366,-0.47006,-0.77150
5.114,0.51366,-0.47006,-0.77150
5.119,-0.25425,0.48653,-0.04881
5.138,-1.25779,0.25149,0.81149
5.140,-1.25779,0.25149,0.81149
5.145,0.74548,-1.25289,-0.58959
5.162,0.72043,0.05107,0.90747
5.167,0.63370,-1.65541,-1.94910
5.180,0.54275,0.33525,1.82582
5.188,-1.01818,0.48147,-0.21962
5.201,0.56748,-0.81551,-2.95739
5.209,0.67191,1.53070,2.55039
5.225,-0.42607,0.27298,0.35093
5.232,-0.57565,-1.32372,-0.90301
5.265,0.08238,1.06061,1.22397
5.265,1.71617,-0.34016,-0.35550
5.272,2.16423,0.52007,0.75793
5.272,2.16423,0.52007,0.75793
5.284,1.01510,-0.65043,-0.60750
5.298,-0.68559,0.29519,0.01893
5.305,-0.33348,-0.03696,-0.67148
5.325,0.36738,-0.53361,-1.60363
5.325,0.36738,-0.53361,-1.60363
5.333,0.62716,-1.36145,-4.75871
5.362,-0.52651,0.20772,1.12309
5.363,-0.88894,0.17932,1.55189
5.385,-0.68782,0.03959,-0.79109
5.385,0.49655,-0.78333,-1.46454
5.396,0.65599,-0.29963,0.43421
5.404,1.19753,-0.52415,0.38213
5.418,-0.33534,-0.43518,-0.40508
5.427,0.78750,-0.19918,-0.49903
5.439,-0.20058,-1.05087,-1.57542
5.449,-0.03708,-0.13759,-0.67511
5.466,-0.80174,0.42855,1.61538
5.474,0.26912,0.37779,0.51802
